program,data_set,n,i,t,num_threads,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
nmf,./test_data/small_data.dat,3,10000,1,1,0.546877,0.549362,0.539457,0.539274,0.536883,0.539512,0.550049
nmfVec,./test_data/small_data.dat,3,10000,1,1,0.491133,0.499460,0.495533,0.500113,0.503635,0.496269,0.496391
nmfVec,./test_data/small_data.dat,3,10000,1,2,0.384175,0.386272,0.385897,0.389707,0.389674,0.385868,0.407900
nmfVec,./test_data/small_data.dat,3,10000,1,3,0.275085,0.277723,0.299865,0.292896,0.339512,0.349026,0.354625
nmfVec,./test_data/small_data.dat,3,10000,1,4,0.319687,0.293047,0.266486,0.265094,0.279608,0.291611,0.289386
nmfVec,./test_data/small_data.dat,3,10000,1,5,0.279063,0.294706,0.279153,0.274248,0.252108,0.299190,0.280002
nmfVec,./test_data/small_data.dat,3,10000,1,6,0.253410,0.266150,0.299685,0.269188,0.261331,0.276130,0.284664
nmfVec,./test_data/small_data.dat,3,10000,1,7,0.254249,0.271850,0.279342,0.290364,0.299283,0.270552,0.245190
nmfVec,./test_data/small_data.dat,3,10000,1,8,0.277401,0.300133,0.270792,0.296420,0.315730,0.299316,0.290663
nmf,./test_data/med_data.dat,6,10000,5,1,9.335824,9.258701,9.318353,9.269005,9.156078,9.215372,9.152726
nmfVec,./test_data/med_data.dat,6,10000,5,1,8.365616,8.313020,8.470506,8.278113,8.316372,8.292774,8.344636
nmfVec,./test_data/med_data.dat,6,10000,5,2,5.738803,5.634420,5.669431,5.691085,5.908519,5.668958,5.659698
nmfVec,./test_data/med_data.dat,6,10000,5,3,3.908207,3.981203,4.325524,3.704012,4.244905,4.239355,4.128116
nmfVec,./test_data/med_data.dat,6,10000,5,4,3.647705,2.932866,3.215102,3.068346,3.034078,3.424557,3.164888
nmfVec,./test_data/med_data.dat,6,10000,5,5,3.122081,3.120365,3.054811,3.312464,2.824982,3.137967,2.704370
nmfVec,./test_data/med_data.dat,6,10000,5,6,2.672486,2.593725,2.855663,2.594285,2.893769,2.919633,2.863364
nmfVec,./test_data/med_data.dat,6,10000,5,7,2.585214,2.866996,2.699116,2.534616,2.989265,2.868901,3.018058
nmfVec,./test_data/med_data.dat,6,10000,5,8,2.652335,2.778527,2.658890,2.397366,2.658910,2.667519,2.718179
nmf,./test_data/large_data.dat,10,10000,15,1,59.183185,59.071550,59.256226,59.145946,58.951160,59.305173,58.976198
nmfVec,./test_data/large_data.dat,10,10000,15,1,54.792122,57.437502,55.178070,54.963636,54.728619,54.627386,54.785597
nmfVec,./test_data/large_data.dat,10,10000,15,2,34.309670,36.761833,35.153682,34.326094,34.173015,34.176743,34.361960
nmfVec,./test_data/large_data.dat,10,10000,15,3,22.295495,21.687484,21.902013,23.380639,22.186785,22.753644,22.228137
nmfVec,./test_data/large_data.dat,10,10000,15,4,18.776505,17.086268,18.699717,17.852584,17.625968,16.988327,17.121516
nmfVec,./test_data/large_data.dat,10,10000,15,5,14.228053,15.596274,15.621695,16.050129,15.989277,16.040127,14.637604
nmfVec,./test_data/large_data.dat,10,10000,15,6,15.055309,15.056249,14.851301,15.076754,13.798671,12.957097,14.667255
nmfVec,./test_data/large_data.dat,10,10000,15,7,13.912315,14.472983,13.645722,14.332683,13.843079,13.641261,12.775617
nmfVec,./test_data/large_data.dat,10,10000,15,8,13.170815,13.011759,12.223785,13.202464,13.962759,13.385329,14.260161
